position,num_seqs,mean_precision,mean_ndgs,mean_jaccard,k,model,dataset,determinism,pop_size,generations,halloffame_ratio,allowed_mutations,timestamp
44,100,68.023,68.023,68.023,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
43,100,70.287,70.287,70.287,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
42,100,74.8,74.8,74.8,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
41,100,76.274,76.274,76.274,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
40,100,79.171,79.171,79.171,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
39,100,80.452,80.452,80.452,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
38,100,84.734,84.734,84.734,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
37,100,85.617,85.617,85.617,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
36,100,86.883,86.883,86.883,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
35,100,86.601,86.601,86.601,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
34,100,85.997,85.997,85.997,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
33,100,85.573,85.573,85.573,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
32,100,84.033,84.033,84.033,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
31,100,83.164,83.164,83.164,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
30,100,83.331,83.331,83.331,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
29,100,84.824,84.824,84.824,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
28,100,83.583,83.583,83.583,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
27,100,83.447,83.447,83.447,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
26,100,83.007,83.007,83.007,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
25,100,83.328,83.328,83.328,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
24,100,83.195,83.195,83.195,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
23,100,83.98,83.98,83.98,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
22,100,85.317,85.317,85.317,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
21,100,86.909,86.909,86.909,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
20,100,85.285,85.285,85.285,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
19,100,80.666,80.666,80.666,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
18,100,83.065,83.065,83.065,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
17,100,83.438,83.438,83.438,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
16,100,84.379,84.379,84.379,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
15,100,85.293,85.293,85.293,1,BERT4Rec,ml-1m,True,2048,10,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)","Thu, 05 Dec 2024 20:01:41"
